ID,Intitule,Entreprise,Pays,Date,Niveau,Experience_lettre,Lien,Lieu de travail,Date d'expiration,Niveau de poste,Secteur d'activité,Niveau d'étude (diplome),Nombre de postes,Type de contrat,Provided Text,Nom de l'entreprise,Experience,Classe
29,Chargé de Pilotage & Qualité de Données - H/F,Société Générale Côte D'ivoire,Côte d'ivoire,30 Novembre 2023,Confirmé / Expérimenté,3 à 5 ans,1,Côte d'ivoire,28 Février,Confirmé / Expérimenté,Industries,"Master 2, Ingéniorat, Bac + 5",01                        poste ouvert,CDD,"VOS MISSIONS AU QUOTIDIENSous l'autorité du Chief Operating Officer, votre mission consiste à :   •   Contrôler la qualité des données à intégrer dans les systèmes ;  •   Détecter les écarts potentiellement sources de risques opérationnels, les analyser et suivre leur résolution ;  •   Participer à l'étude des projets de son périmètre.Concrètement, vous serez amené(e) à :Contrôler la qualité des données à intégrer dans les systèmes   •   Assurer la gestion des rapprochements et l'apurement des éventuels écarts  •   S’assurer de la mise à disposition de l’ensemble des états de rapprochements et de leur pertinence  •   Identifier les anomalies de process et alerter sa hiérarchie et le support SI au plus vite en cas d’écarts anormalement élevés Détecter les écarts potentiellement sources de risques opérationnels, les analyser et suivre leur résolution  •   Identifier et analyser les causes sources des écarts  •   Intervenir auprès du Front, du Middle, du Back office, du support SI, des équipes référentielles ou des acteurs externes pour demander des actions permettant la résolution des écarts et assure le suivi des corrections  •   Repèrer les causes récurrentes entrainant des écarts et proposer des actions correctrices Participer à l'étude des projets de son périmètre  •   Participer aux tests utilisateurs (UAT)  •   Contribuer aux études / projets  •   Participer à la formation et à la conduite du changement Reporting  •   Contribuer à la production des indicateurs de risque (KRI) ou de performance (KPI) et les analyser / commenter  •   Apporter des commentaires sur les écarts et émettre un avis sur le niveau de risque lié à ces écarts ET SI C’ETAIT VOUS ?- Vous êtes issu(e) d'une formation Bac+4/5 en Finances Banques ou équivalent  - Vous avez une expérience réussie d'au moins 2 ans dans une fonction commerciale  - Vous disposez d'une bonne connaissance en Traitement et analyse de données Nous recherchons, en plus, des candidat.e.s avec les aptitudes et compétences suivantes :- Connaissance des opérations sur pour la clientèle entreprise - Capacités rédactionnelles et restitution de l'information - Ouverture d'Esprit et Curiosité intellectuelle - Capacité d'analyse et de synthèse - Esprit d'équipe PLUS QU’UN POSTE, UN TREMPLINAprès une expérience réussie dans cette fonction, vous pouvez évoluer vers d’autres fonctions à responsabilités plus élevées en local ou à l’international.POURQUOI NOUS CHOISIR ?Chez Société Générale, nous sommes convaincus que les personnes sont motrices du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !Vous hésitez encore ?Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples.Date de soumissionCV à envoyer avant le 15 Décembre 2023",Société Générale Côte D'ivoire,4,Q2
30,Superviseur Marketing Opérationnel,KOMIAN AI,Côte d'ivoire,05 Janvier,Responsable d'équipe,3 à 5 ans,2,Côte d'ivoire,04 Avril,Responsable d'équipe| Confirmé / Expérimenté,"Informatique, Télécom, Internet","Licence (LMD), Bac + 3| Master 1, Licence  Bac + 4| Master 2, Ingéniorat, Bac + 5",01,CDD,"KOMIAN IA est une entreprise innovante dans le domaine de l'éducation et de l'intelligence artificielle. Dans le cadre de notre stratégie de développement, nous sommes à la recherche d'un(e)  Superviseur pour piloter la promotion du produit et la création des comptes UTILISATEURS sur le terrain.Nous offrons un environnement de travail stimulant, une équipe passionnée et engagée, ainsi que des perspectives de développement professionnel au sein d'une entreprise en pleine croissance.Missions En tant que Superviseur, votre mission principale sera de superviser et de coordonner l'équipe de commerciaux chargée faire connaitre le produit et de procéder à la création des comptes UTILISATEURS sur le terrain en fonction des zones ciblés. Vous devrez vous assurer de l'efficacité et de la qualité du travail effectué, en veillant à ce que les objectifs fixés soient atteints de manière optimale.Responsabilités Gérer et encadrer une équipe de commerciaux chargée de la promotion du produit ainsi que la création des comptes UTILISATEURS.Planifier les tournées et les visites des commerciaux dans des lieux stratégiques de chaque commune.Assurer le suivi des performances individuelles et collectives de l'équipe.Fournir une formation continue aux commerciaux pour améliorer leurs compétences et leurs résultats.Collaborer avec d'autres départements pour assurer une bonne communication et une coordination efficace. Profil Recherché Expérience similaire dans le domaine de la téléphonie mobile serait un grand atout ;Expérience préalable en supervision d'équipe dans le domaine commercial.Capacité à travailler de manière autonome.Excellentes compétences en communication et en gestion des relations interpersonnelles.Fortes compétences d'organisation et de planification.Capacité à travailler dans un environnement dynamique avec des objectifs ambitieux.Savoir Faire Connaissance approfondie des techniques de vente et de négociation.Capacité à analyser les résultats et à identifier les opportunités d'amélioration.Excellente maîtrise des outils informatiques et des logiciels de gestion.Bonne connaissance du secteur de l'éducation et de l'IA serait un plus.Si vous êtes prêt(e) à relever ce défi excitant et à contribuer à notre mission d'améliorer l'éducation grâce à la technologie, veuillez nous faire parvenir votre candidature (CV + lettre de motivation+ Prétention salariale)  en postulant à cette annonce. Rejoignez KOMIAN IA et participez à notre aventure passionnante au service de l'éducation !",,4,Q2
31,Stagiaire Professionnel Assistant (e) Marketing,Entreprise anonyme,"Abidjan, Côte d'ivoire",04 Janvier,Débutant / Junior,Moins d’un an,2,"Abidjan, Côte d'ivoire",Aujourd'hui,Débutant / Junior,"BTP, Construction, Immobilier","Licence (LMD), Bac + 3",01                        poste ouvert,Stage – Temps partiel| Pré-emploi,"Intervenant dans le secteur de l’industrie chimique du bâtiment, une entreprise recherche un(e) Stagiaire professionnel Assistant (e) Marketing.Profil de CandidatVous êtes titulaire d’un BAC + 3 en Marketing ou tout autre diplôme équivalent. Vous avez une expérience d’au moins six (06) mois dans le domaine du Marketing, vous êtes capable de gérer un stock matériel pub, concevoir des retroplannings et de suivre un budget ; vous maîtrisez les logiciels de bureautique (World, Excel, Powerpoint,), les logiciels de conception (In design, Photoshop, Illustrator). Vous avez une bonne capacité d’analyse et de synthèse, le sens de l'innovation, un bon sens du relationnel. Vous souhaitez rejoindre une entreprise fondée sur des principes et des valeurs garants de la performance de son personnel, faites parvenir votre Curriculum Vitae.",Entreprise anonyme,1,Q1
32,BTL Specialist,Exceliam,"Abidjan, Côte d'ivoire",28 Décembre 2023,Confirmé / Expérimenté,1 à 2 ans,2,"Abidjan, Côte d'ivoire",27 Mars,Confirmé / Expérimenté| Jeune diplômé,Services,"Licence (LMD), Bac + 3| Master 1, Licence  Bac + 4| Master 2, Ingéniorat, Bac + 5",01,Indépendant/Saisonnier,"L’objectif principal de ce poste est de mettre en application la stratégie Marketing BTL lors de la Can. Notre client étant sponsor official de cette compétition panafricaine, il est crucial que notre exécution terrain soit  conforme aux attentes du groupe . Il s’agira de s’assurer principalement que les activations terrain définie au sein de la stratégie CAN soient  déployées parfaitement, en accord avec les objectifs fixés. • La mise en application de la stratégie Marketing BTL sur la CAN • Le suivi des promoteurs sur les différentes zones d’activation • Le support dans la coordination des activités avec les partenaires et agences  • Le déploiement et suivi de la visibilité de la marque dans nos agences et points XpressRESPONSABILITES PRINCIPALES  Go To Market • Propose des actions d’animation terrain des offres de produits et services • Supervise la mise en œuvre des actions de communication terrain  • S’assure du déploiement effectif des activités et activations CAN • Effectue le suivi des éléments de branding Efficience • Collecte les devis des prestataires, fournit une analyse comparative des propositions et établit un budget  prévisionnel • Assure le suivi des ressources (goodies / branding ; t-shirt) d’une manière efficiente Organisation • Rédige les briefs projets, animations GP et street marketing à destination de l’interne et des agences externes  • Assure la production et le déploiement des supports, puis veille à la conformité du branding avec les  guidelines de la marque • Rédige à la fin d'une action un tableau budgétaire contenant les budgets prévisionnels et réalisés • Rédige un rapport analytique et complet à la fin de toute action de communication Initiatives Stratégiques   • Favorise l’excellence dans l’execution • Assure l'intégration de la culture d’entreprise et de l’éthique dans l'exécution de la stratégie et des plans  marketing de la gamme de produits • Promeut l’initiative de la gestion du coût   RELATION DE TRAVAIL  Interne(s) • Collègues du département Marketing et Communication CIV et UEMOA  • Responsables produits des unités commerciales (CSB, CMB, TSG et CIB), chefs d’agence • Autres départements de la banque • Groupe Marketing, Responsables Marketing des autres filiales Externe(s) • Agences de communication locales • Agences media, hors media, fournisseurs de veille concurrentielle  • Cabinets d’étude de marchéPROFIL RECHERCHE  Expérience & Qualifications • BAC+3 à 5 en École de Commerce ou de Communication • Minimum de 1 années d’expérience professionnelle en communication d’entreprise  • Bonne maîtrise des outils bureautiques  • Maîtrise du Français  • Bonne compréhension des nouvelles technologies de communication (digital et réseaux sociaux) Aptitudes, Capacités et Qualités Personnelles • Respect des instructions et des procédures • Remarquables qualités relationnelles • Excellent esprit de synthèse et d’analyse  • Travail en Équipe, Planification, Organisation, Sens de l’anticipation • Orienté client et résultat, rigueur, dynamisme, autonomie, intégrité  • Créativité, Curiosité d’esprit • Pragmatisme et efficacité. • Capacité de négociation.",,2,Q1
33,Stagiaire Data Scientist,Société Générale  Afrique de l'ouest ( Centre d'Expertise AFS),"Abidjan, Côte d'ivoire",01 Décembre 2023,Jeune diplômé,Moins d’un an,2,"Abidjan, Côte d'ivoire",29 Février,Jeune diplômé,"Banque, Assurance, Finance","Master 2, Ingéniorat, Bac + 5",01,Stage – Temps partiel,"Nous recrutons pour le Hub Marketing AFS de Société GénéraleUn(e) stagiaire Data ScientisteEnvironnement de travail Le Pôle Marketing analytique & BI du HUB Marketing accompagne les filiales de la zone AFS en comprenant leurs problématiques métiers marketing et commercial (approche stratégique et opérationnelle) et leur apporter des solutions répondant à leurs besoins. Votre mission principale est de réaliser la conversion et l'automatisation des scripts et processus métiers dans le langage de programmation PYTHON Missions spécifiques du Poste Sous la responsabilité du Responsable Marketing Analytique et BI, vous aurez à assister les Data Analystes Sénior sur les sujets suivants : -          Prendre en main les sujets implémentés sur SAS et les transcrire en langage Python/ R -         Assurer et vérifier la cohérence des résultats issus de la conversion avec l'existant  -          Automatiser les scripts convertis selon une fréquence définie avec le métier -          Collaborer avec les autres acteurs im Formation De formation supérieure (Bac+5 Filière Informatique, Data science, Big data…), vous êtes passionnés par le traitement et l’analyse des données, la modélisation mathématiques et statistiques.  Vous êtes rigoureux, réactif, disponible avec un fort esprit d’équipe, expression orale et écrite claire, compréhensible. Votre sens pédagogique et votre esprit de synthèse vous permettent d’expliquer avec clarté et aisance les résultats de vos études car vous devez être aussi un bon communicant et posséder une bonne maîtrise rédactionnelle.  Expérience ·       Jeune diplômé (e) faisant preuve d'une expérience de 6 mois minimum dans le domaine à un rôle similaire, avec une maîtrise réelle du langage Python.Connaissance des processus d'automatisation des tâches avec Python. Savoir ·       Connaissance des outils :Python / R  et SAS .      Parfaite maitrise de Power BI et Excel  Savoir faire ·       Bonne maîtrise des logiciels bureautiques usuels; ·       Excellente maîtrise du langage SQL et des bases de données (Oracle, MySQL,  SQL Server…) ·       Maîtrise de l’outil COGNOS et SAS serait un atout ·       Bonne maitrise de l’anglais Savoir être ·       Confidentialité et discrétion ; ·       Esprit d’analyse et de synthèse ·       Curiosité intellectuelle; ·       Rigueur, sens des responsabilités et du résultat ; ·       Attrait pour la résolution de problèmes; ·       Force de proposition ·       Esprit d’équipe ·       Sens de la communication   Candidater : Pour faire acte de candidature, veuillez envoyer votre CV actualisé Délai : 15 décembre 2023 NB : Seuls les candidats présélectionnés seront contactés.",,1,Q1
34,Stagiaire Gestion de Projets Digitaux,Société Générale  Afrique de l'ouest ( Centre d'Expertise AFS),"Abidjan, Côte d'ivoire",29 Novembre 2023,Débutant / Junior,Moins d’un an,2,"Abidjan, Côte d'ivoire",27 Février,Débutant / Junior,"Banque, Assurance, Finance","Master 2, Ingéniorat, Bac + 5",01,Stage – Temps partiel,"La Société Générale Afrique de l'Ouest recherche pour sa Direction HUB Marketing AFS:1 Stagiaire Gestion de Projets Digitaux Missions du posteLe Pôle Offres et Expérience clients du HUB Marketing AFS a pour mission entre autres de piloter le déploiement des offres digitales Retail en synergie avec SGABS et d'accompagner les filiales dans la conduite du changement.Les missions principales sont:- Définir et structurer les besoins métiers;-Elaborer les business cases de rentabilité des projets;-Piloter le processus CNP;-Spécifier les parcours utilisateur et suivre leur implémentation;-Suivre la chaine de conception des solutions (du design jusqu'à la MEP)-Elaborer la stratégie commerciale et marketing des offres;-Elaborer la stratégie de conduite du changement et coordonner la mise en œuvre;-Accompagner les filiales dans le développement commercial des offres.Ce pôle intervient sur le marché retail Activités PrincipalesSous la responsabilité du Responsable Pôle Expérience clients et offres vous aurez à assister le Product Owner digital sur les sujets suivants:-Préparer les éléments (livrables et inputs) métiers et fonctionnels nécessaires à la conception des solutions-Répondre aux besoins d'informations/inputs complémentaires exprimés par les équipes fonctionnelles;-Suivre, assister les filiales dans la préparation des prérequis métiers(ateliers,deep dive etc...)-Participer avec les équipes IT (fonctionnelle et technique) et à l'ensemble des ateliers de spécification/qualification/études des besoins métiers);-Participer aux points de suivi RUN et apporter des réponses aux sujets métiers;-Assister le PO dans le déroulement des processus CNP;-Suivre et piloter les phases de tests UAT, s'assurer du bon déroulement et du respect du planning et du cahier de recettes;-Concevoir des livrables conduite du changement(Marketing, Commerciale, COMM,Formation etc...)-Suivre les sujets divers liés au RUN ou Change de Bank Up et Open RCes activités couvrent le marché RetailProfil  De formation supérieure (Bac+3 ou Bac+4 Filière Marketing, administration, informatique de gestion, etc...) avec un intérêt pour la gestion des projets digitaux;Vous êtes rigoureux, réactif, disponible avec un fort esprit d'équipe. Votre sens pédagogique et votre esprit de synthèse vous permettent d'expliquer avec la clarté et aisance les résultats de vos études car vous devez être aussi un bon communicant et posséder une bonne maitrise rédactionnelle.Compétences Techniques-Bonne maitrise des logiciels bureautiques usuels;-Excellente maitrise du langage SQL et des bases de données (Oracle, MySQL,SQL Server...)-Maitrise de l'outil COGNOS, PowerBI et SAS serait un atout-Bonne maitrise de l'anglaisCompétences Comportementales-Confidentialité et discrétion;-Esprit d'analyse et de synthèse-Curiosité intellectuelle;-Rigueur, sens des responsabilités et du résultat;-Attrait pour la résolution de problèmes;-Force de proposition;-Esprit d'équipe;-Sens de la communication;Outils Statistiques et informatiques-Excell, VBA, SQL,SAS,Cognos, PowerBI, Tableaux Candidater :Pour faire acte de candidature, veuillez envoyer votre CV actualisé au plus tard le 20 décembre 2023.Seules les candidatures sélectionnées seront contactées.",,1,Q1
35,Community Manger,KOMIAN AI,Côte d'ivoire,10 Décembre 2023,Confirmé / Expérimenté,3 à 5 ans,2,Côte d'ivoire,09 Mars,Débutant / Junior| Confirmé / Expérimenté,"Informatique, Télécom, Internet",,01,,"Si vous êtes un Community Manager inspiré, créatif et que les réseaux sociaux n’ont pas de secret pour vous, vous êtes certainement la personne idéale que nous recherchons actuellement pour une aventure passionnante.Nous sommes une entreprise spécialisée dans les solutions innovantes en intelligence artificielle, avec pour objectif de démocratiser l’usage de cette technologie en Afrique.Votre mission principale consistera à élaborer et à mettre en œuvre une stratégie de communication efficace afin d'accroître la notoriété de la marque KOMIAN AI.RESPONSABILITÉS PRINCIPALES•  Créer et publier régulièrement du contenu attractif et engageant(textes, images, vidéos) sur les réseaux sociaux pour stimulerl'engagement et l'interaction avec la communauté.•  Analyser les données et les statistiques pour évaluer la performancedes campagnes et proposer des stratégies d'amélioration continue.•  Être force de proposition en matière de nouvelles tendances, outilset stratégies de Growth Hacking pour accroître la visibilité de lamarque.• Passion pour la technologie, l'intelligence artificielle et lessujets connexes.• Capacité à interagir de manière professionnelle et empathique avecune large gamme d'utilisateurs.•  Capacité à travailler de manière autonome et à prendre des initiatives.COMPETENCE REQUISE•       Excellentes compétences en rédaction et en communication.•       Maîtrise des principaux réseaux sociaux et des outils d'analyse des données.•       Créativité et capacité à produire du contenu innovant et captivant.•       Autonomie, proactivité et capacité à travailler en équipe.•       Connaissance du growth hacking et de l'optimisation des campagnes digitales.•       Compréhension approfondie des tendances actuelles dans le domaine de l'intelligence artificielle et de la technologie.OUTILS A MAITRISER-  Création de contenu•  Adobe Creative Suite (Photoshop, Illustrator, Premiere Pro) : Pourla création d'images, de graphiques et de vidéos de haute qualité.•  Canva : Pour la conception graphique rapide et intuitive.•  InShot ou Filmora : Pour le montage vidéo simple et efficace, adaptéaux réseaux sociaux.-  Analyse et Rporting•  Google Analytics : Pour analyser le trafic web et l'engagement des utilisateurs.• Facebook Insights et Twitter Analytics : Pour les mesures spécifiques aux plateformes.-  Email Marketing•   Mailchimp ou Sendinblue : Pour créer et envoyer des newsletters etdes campagnes d'email marketing.",,4,Q2
36,Consultant Manager Général,Exceliam,"Abidjan, Côte d'ivoire",06 Novembre 2023,Manager / Responsable département,6 à 10 ans,2,"Abidjan, Côte d'ivoire",04 Février,Manager / Responsable département,Services,"Master 1, Licence  Bac + 4| Master 2, Ingéniorat, Bac + 5",01,Consultant,"Notre client une société qui vient de se constituer, dans le domaine du COWORKING intégré d’un CENTRE FINANCIER et d’un FOOD COURT, désire recourir aux compétences d’un CONSULTANT MANAGER GENERAL expert en Communication, Marketing et en Relation Client afin de jouer un rôle prépondérant dans le développement de toutes ses activités, et lui permettre d’acquérir de façon substantielle des parts de marchés.A ce titre, il sera un acteur clé dans la vie de l’entreprise et permettra à l’entreprise d’atteindre ses objectifs commerciaux bien évidemment par une visibilité plus accrue de la société.Sous la responsabilité du Directeur Général, le CONSULTANT MANAGER GENERAL aura pour missions de :- Coordonner les opérations quotidiennes de gestion de la société ;-Satisfaire de façon continue la clientèle ;- Réagir efficacement et pertinemment aux réclamations des clients ;- Maintenir les objectifs de recettes, rentabilité et qualité du centre ;- Assurez une exploitation efficace du centre, et veiller à l’observation de normes élevées de production, productivité, qualité et service ;- Coordonner les opérations quotidiennes entre la cuisine et les salles pour le TECH BAR ;- Évaluer régulièrement la qualité des produits et chercher de nouveaux fournisseurs ;- Organiser et superviser les services ;- Évaluer le travail du personnel et donner des retours pour améliorer la productivité,- Assurer le respect des réglementations en matière d’hygiène et de sécurité ;- Gérer la bonne image du centre et conseiller des matières de l’améliorer ;- Créer des rapports détaillés sur les recettes et dépenses hebdomadaires, mensuelles et annuelles ;- Promouvoir la marque dans la communauté locale via l’organisation des événements ;-Améliorer le chiffre d’affaires du centre ;- Former les employés nouveaux et actuels aux bonnes pratiques de service client ;- Mettre en place des politiques et protocoles qui serviront aux futures opérations de la société.                                                            Profil du PosteFormation• BAC+ 4/5 en hôtellerie/restauration, Marketing, Management. Expérience Professionnelle• Une expérience réussie d’au moins cinq (05) années en tant que gérant, ou autre poste similaire.Qualités Requises·         Vous disposez d’un portefeuille client très développé et enrichissant ;·         Bonne connaissance des logiciels de gestion ;·         Grandes capacités relationnelles, de leadership et de motivation ;·         Solides compétences en gestion financière ;·         Savoir faire face aux imprévus et être capable de trouver des solutions en urgence ;·         L’analyse et la coordination afin de contrôler l’efficacité de ses équipes et la satisfaction des clients, grâce à une lecture globale de l’ensemble des activités de l’établissement ;·         La polyvalence pour pallier à toute éventualité pendant le service (passage en cuisine, prise des commandes ou accueil des clients) ;·         La créativité pour l’élaboration du menu et pour améliorer l’expérience des clients ;·         Le dynamisme pour offrir aux équipes une ambiance de travail saine, tout en apportant la satisfaction aux clients ;·         Un bon sens relationnel pour gérer les équipes et fidéliser les clients ;·         L’animation pour améliorer la cohésion des équipes et les faire progresser dans un but d’émulation collective ;·         La compréhension des collaborateurs pour les aider à évoluer en fonction de leur potentiel, de leur expérience, de leurs aspirations et de leur implication ;·         Parler l’anglais serait un atout.",,8,Q3
37,Un(e) Commercial,SI’CLEAN PRESSING,Côte d'ivoire,09 Novembre 2023,Débutant / Junior,1 à 2 ans,2,Côte d'ivoire,07 Février,Débutant / Junior,Services,,01,,"Missions  Prospecter et démarcher les potentiels clients Promouvoir nos services Développer un portefeuille client Définir et mettre en application une stratégie de fidélisation Gérer les relations clients Accroitre le chiffre d’affaires de l’entreprise Définir les stratégies commerciales Définir l’argumentaire commercial Assurer une veille concurrentielle Gérer la communication Reporting et analyse au DGProfil du Poste Minimum BAC +2 en gestion commercial, marketing vente, management ou tout autre domaine pertinent selon les missions ci-dessus énuméréesMinimum 1 année d’expérience réussie dans une fonction similaire Avoir un bon relationnel Avoir le sens des responsabilités Doté d’une aisance orale Etre proactif, autonome et dynamique Etre organisé et capable de s’adapter et d’apprendre rapidement Faire preuve de créativité et d’anticipation Maitriser l’outil informatique et les réseaux sociauxDate limite de candidature : 20/11/2023Date de prise de fonction : 01/12/2023Contrat d’essai",,2,Q1
38,Gestionnaire Tech Bar,Exceliam,"Abidjan, Côte d'ivoire",06 Novembre 2023,Responsable d'équipe,6 à 10 ans,2,"Abidjan, Côte d'ivoire",04 Février,Responsable d'équipe| Confirmé / Expérimenté,Services,"Master 1, Licence  Bac + 4",01,CDI| CDD,"Le TECH BAR est un coworking qui permettra aux coworkers de travailler dans un cadre apaisant et agréable.Sous la responsabilité du CONSULTANT MANAGER GENERAL, le GESTIONNAIRE TECH BAR sera chargé de : Missions-  Veillez à la bonne tenue du TECH BAR ;-  Assurer la mise à disposition de postes de travail, des salles de réunion ou d’espaces événementiels et participer à la définition de nouvelles offres ;- Vous participerez au développement de nouvelles offres commerciales pour répondre aux enjeux de développement de l’entreprise ;-  Garantir la fonctionnalité et le standing du lieu au quotidien ;-  S’assurer que l’espace soit fonctionnel et inspirant pour les collaborateurs des entreprises qui y travaillent ;-  Gérer les prestataires réguliers, (ménage, tri sélectif, équipement eau, café etc.) ;-  Assurer la contractualisation avec les entreprises qui s’installent dans l’espace ainsi que le suivi financier de ce dernier (facturation des entreprises, suivi des dépenses et des achats…) ;- Travaillez en relation étroite avec l’équipe Expérience / Animation afin de proposer des animations de contenu et de rencontres (webinaires, intervention d’experts ou personnalités inspirantes, marronniers etc.) pertinentes et ciblées, en fonction de votre communauté ;- Être constamment à l’écoute des besoins des entrepreneurs afin d’améliorer leur expérience au sein de l’espace et veiller à ce qu’ils disposent quotidiennement des outils dont ils ont besoin pour mener à bien leurs activités ;-  Faire des reporting régulier sur les entreprises installées et l’état des lieux.Profil du PosteFormation•          BAC+ 4 en Informatique, Management et Marketing. Expérience Professionnelle•          Une expérience réussie d’au moins cinq (05) année dans une fonction similaire.Qualités Requises·         Vous êtes rigoureux et organisé ;·         Votre relationnel est excellent et vous faites preuves d’enthousiasme et de motivation ;·         Vous avez un goût certain pour le challenge et avez envie de participer au développement de Morning ;·         Vous êtes autonome ;·         Vous avez un esprit pratique et êtes pragmatique dans vos recherches de solutions ;·         Vous êtes doté de capacité d’adaptation et saurez la mettre en œuvre dans un espace et une communauté mouvante ;·         Vous aimez travailler en équipe ;·         Parler l’anglais serait un atout.",,8,Q3
39,Gestionnaire Centre Financier,Exceliam,"Abidjan, Côte d'ivoire",06 Novembre 2023,Responsable d'équipe,6 à 10 ans,2,"Abidjan, Côte d'ivoire",04 Février,Responsable d'équipe| Confirmé / Expérimenté,Services,"Master 1, Licence  Bac + 4",01,CDI| CDD,"Le CENTRE FINANCIER est une unité au sein de laquelle s’effectue toutes les opérations et transactions bancaires possibleSous la responsabilité du CONSULTANT MANAGER GENERAL, LE GESTIONNAIRE DU CENTRE FINANCIER sera chargé de :Missions-          Assurer la gestion financière d’une unité de l’entreprise ;-          Définir les objectifs de rentabilité du centre financier (prix, marge coût de revient des produits vendus) ;-          Vérifie que les marges et les prix de revient soient respectés ;-          Superviser et animer la comptabilité et le contrôle de gestion du centre financier ;-          Son rôle est également de présenter les documents comptables à la direction générale, de proposer diverses solutions pour améliorer les résultats et de garantir les profits liés aux activités du centre financier ;-          Surveiller les budgets et procéder à des réajustements en cas de dérives ;-          Mettre en œuvre une démarche permettant d'acquérir de nouveaux clients en recherchant des clients potentiels (prospects) ; -          Utiliser la recommandation et créer / animer un réseau professionnel pour capter de nouveaux clients ; -          Développer son portefeuille client dans une perspective de conquête et de fidélisation ; -          Détecter, analyser et remonter les risques en lien avec son activité et proposer ou challenger des actions de couverture ; -          Contrôler et évaluer la maîtrise de l'ensemble des risques sur son domaine d'intervention ; -          Contribuer< à la veille stratégique et au développement de l'innovationProfil du Poste Formation •          BAC+ 3/4 en Management / Marketing spécialité Banque.  Expérience Professionnelle •          Une expérience réussie d’au moins cinq (05) année dans une fonction similaire. Qualités Requises ·         Vous êtes attentif à l’environnement économique.  ·         Vous êtes doté du pouvoir de conviction et des qualités managériales.  ·         Sa rigueur, son esprit d’analyse et sa  ·         Vous êtes rigoureux et organisé ; ·         Votre relationnel est excellent et vous faites preuves d’enthousiasme et de motivation ; ·         Vous êtes autonome ; ·         Vous aimez travailler en équipe ; ·         Parler l’anglais serait un atout.",,8,Q3
